     -49.1244     -11.1521
#     -48.9401     -10.5991
     -48.7558      25.8986
     -48.0184     -23.6866
     -47.6498      27.3733
#     -47.2811     -22.0276
#     -47.2811     -14.2857
#     -47.0968     -17.9724
     -46.1751      31.0599
     -45.9908     -33.0876
     -45.2535      35.8525
     -43.7788      39.1705
     -43.2258     -39.5392
     -42.8571      39.3548
     -42.6728     -43.4101
     -41.3825      39.7235
     -41.1982     -44.8848
     -40.0922      39.7235
     -39.1705     -48.0184
     -37.1429      39.9078
     -36.9585     -50.2304
     -35.2995      40.6452
     -33.6406      42.3041
     -32.7189      44.8848
     -3.22581      44.7005
     -2.85714      43.0415
     -2.30415     -50.2304
     -1.38249      40.4608
     0.460829      39.1705
      2.30415      38.8018
      3.04147      36.5899
      3.04147     -41.7512
      5.25346      35.4839
      6.17512     -34.9309
      6.91244     -34.1936
      8.75576      35.4839
      10.2304     -28.1106
      10.7834      37.1429
      11.3364      39.9078
      11.7051      42.8571
      12.4424      45.0691
      13.9171     -24.7926
      20.5530     -19.8157
      26.4516     -17.7880
      31.0599     -15.7604
      32.1659     -13.9171
      35.1152     -12.2581
      36.9585      44.7005
      38.2488     -10.9677
      39.1705      38.0645
      39.5392      33.4562
      39.5392     -10.4147
      42.4885     -7.09677
      43.0415      28.2949
      44.7005     0.276498
      46.5438      2.48848
      46.9124      3.04147
      47.0968      21.2903
